,ID,HeavyAtomCount,MolLogP,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,LabuteASA,MolWt,FCount,FCount2,Tox_1,Tox_2,Tox_3,Tox_4,Tox_5,Tox_6,Tox_7,Tox_8,Tox_9,Tox_10,Tox_11,Tox_12,Tox_13,Tox_14,Tox_15,Tox_16,Tox_17,Tox_18,Tox_19,Tox_20,Tox_21,Tox_22,Tox_23,Tox_24,Tox_25,Tox_26,Tox_27,Tox_28,Tox_29,Tox_30,Tox_31,Tox_32,Tox_33,Tox_34,Tox_35,Tox_36,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,NHOHCount,NOCount,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Acceptor_Count,Aromatic_Count,Donor_Count,Hydrophobe_Count,NegIonizable_Count,PosIonizable_Count,Acceptor:Acceptor-6.00,Acceptor:Aromatic-6.00,Acceptor:Donor-6.00,Acceptor:Hydrophobe-6.00,Acceptor:NegIonizable-6.00,Acceptor:PosIonizable-6.00,Aromatic:Aromatic-6.00,Aromatic:Donor-6.00,Aromatic:Hydrophobe-6.00,Aromatic:NegIonizable-6.00,Aromatic:PosIonizable-6.00,Donor:Donor-6.00,Donor:Hydrophobe-6.00,Donor:NegIonizable-6.00,Donor:PosIonizable-6.00,Hydrophobe:Hydrophobe-6.00,Hydrophobe:NegIonizable-6.00,Hydrophobe:PosIonizable-6.00,NegIonizable:NegIonizable-6.00,NegIonizable:PosIonizable-6.00,PosIonizable:PosIonizable-6.00,Acceptor:Acceptor-4.00,Acceptor:Aromatic-4.00,Acceptor:Donor-4.00,Acceptor:Hydrophobe-4.00,Acceptor:NegIonizable-4.00,Acceptor:PosIonizable-4.00,Aromatic:Aromatic-4.00,Aromatic:Donor-4.00,Aromatic:Hydrophobe-4.00,Aromatic:NegIonizable-4.00,Aromatic:PosIonizable-4.00,Donor:Donor-4.00,Donor:Hydrophobe-4.00,Donor:NegIonizable-4.00,Donor:PosIonizable-4.00,Hydrophobe:Hydrophobe-4.00,Hydrophobe:NegIonizable-4.00,Hydrophobe:PosIonizable-4.00,NegIonizable:NegIonizable-4.00,NegIonizable:PosIonizable-4.00,PosIonizable:PosIonizable-4.00,Acceptor:Acceptor-2.00,Acceptor:Aromatic-2.00,Acceptor:Donor-2.00,Acceptor:Hydrophobe-2.00,Acceptor:NegIonizable-2.00,Acceptor:PosIonizable-2.00,Aromatic:Aromatic-2.00,Aromatic:Donor-2.00,Aromatic:Hydrophobe-2.00,Aromatic:NegIonizable-2.00,Aromatic:PosIonizable-2.00,Donor:Donor-2.00,Donor:Hydrophobe-2.00,Donor:NegIonizable-2.00,Donor:PosIonizable-2.00,Hydrophobe:Hydrophobe-2.00,Hydrophobe:NegIonizable-2.00,Hydrophobe:PosIonizable-2.00,NegIonizable:NegIonizable-2.00,NegIonizable:PosIonizable-2.00,PosIonizable:PosIonizable-2.00,CLASS
13,13,25,3.24752,9,5,3,67.87,143.26279234,370.376,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7863456398,891.3740944069999,18.0267332586,13.170345964000001,14.064773155,11.8323184574,7.3676395402,8.8124570395,5.398808327999999,6.8956437333,3.5565725698,4.8275965261,2.3026926548,3.5077555699,-2.42,17.4045605091,6.830535910599999,4.1629067911,1,5,9.7208414748,5.749511833300001,11.763318446300001,0.0,0.0,6.1762985174,9.192877013099999,4.983978521,13.171245143,0.0,12.1327341369,25.1228384051,22.5598641062,22.4801830368,22.117006589000002,21.8329704781,0.0,14.9519355628,0.0,24.0093258057,6.6068819645,47.7860584005,0,5.749511833300001,4.7368629538,13.171245143,5.749511833300001,0.0,31.944014536999997,16.5524226497,6.923737199700001,11.257379486500001,41.6851153957,0.0,11.0334014352,0,0,-1.9161462838999999,0,0,0,0,0,0,49.4775807843,24.7626395737,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,15,3,8,0,5,6,16,1,5,0,0,66,20,25,0,22,3,5,0,2,16,0,19,0,0,6,5,12,1,4,0,0,50,20,19,0,22,3,3,0,2,11,0,19,0,0,6,3,6,1,3,0,0,29,12,12,0,13,3,1,0,2,8,0,10,0,0,5,1
17,17,17,1.8291,5,3,2,55.76,103.41173415799999,254.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2720527773,469.32836242800005,12.413849083399999,9.091374824199999,9.8473037703,8.1302289553,5.0188882537,5.3968527267,3.5746681786,3.9818683054000004,2.52998815,2.8741941979,1.6886909078999999,1.9362133659,-1.52,11.9507088321,4.772568397,2.2757695655,1,4,14.580253302400001,11.863131259400001,6.1039663878,0.0,0.0,5.969305287999999,0.0,4.7945371841,0.0,0.0,29.8000410956,6.0663670685,10.586084805399999,13.185817648099999,19.3747904865,17.5702451782,0.0,0.0,0.0,12.2079327755,7.1097975413,46.6867380578,0,0.0,0.0,0.0,0.0,11.6009398902,24.289596611799997,14.268263091700002,0.0,11.6674178794,36.1006532523,5.0226333137,0.0,0,0,5.9640610039999995,0,0,0,0,0,0,0.0,39.4803834404,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,6,0,0,6,0,3,0,0,0,15,3,15,0,0,0,0,0,0,15,0,0,0,0,0,5,0,2,0,0,0,15,1,15,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0
23,23,36,3.8203,9,7,4,111.01,209.084566905,491.54400000000004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5986724381,1237.07991438,25.819261998400002,20.5231970196,20.5231970196,17.2780960009,11.7660117821,11.7660117821,9.0157469575,9.0157469575,6.5517939926999995,6.5517939926999995,4.8897670268999995,4.8897670268999995,-3.98,25.1230655241,10.739455449100001,5.3070795097,1,9,14.790514511600001,6.1039663878,0.0,0.0,5.687386274700001,11.938610575899999,15.014227999600001,9.589074368099999,0.0,0.0,42.4645694792,31.3951990057,43.1610819808,29.0972236964,23.9861113246,17.6259968506,0.0,10.2166983349,0.0,38.8349248621,20.1993103531,98.37881255459999,0,0.0,5.316788604,5.687386274700001,0.0,0.0,48.0651080964,25.6075566817,10.1143182688,37.3131050519,77.1375913024,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,89.1666666667,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,2,18,0,1,6,3,2,3,0,2,30,2,48,0,2,0,16,0,0,70,0,4,0,0,0,3,0,2,0,0,2,30,0,46,0,0,0,9,0,0,60,0,1,0,0,0,2,0,0,0,0,0,20,0,28,0,0,0,3,0,0,34,0,0,0,0,0,1
26,26,16,3.6212,6,4,0,6.48,117.90714002899999,296.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0417844060000006,200.858919086,12.552041763900002,10.3558474776,13.621833801300001,7.5992840726,5.523715031900001,8.4900415271,3.0430618966000003,6.4400253066,2.2275241502000003,5.9590137619000005,1.1403091208,4.199059082200001,0.48,16.48,9.5039500759,5.7026903724,0,2,9.7998194617,8.6410681711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.435746886100002,49.2827447515,26.1790256237,0.0,0.0,54.66461101,0.0,9.7998194617,0.0,27.694948798800002,26.1790256237,0.0,0,0.0,0.0,0.0,0.0,46.023542838900006,44.6199132565,0.0,0.0,27.694948798800002,0.0,0.0,0.0,0,0,13.8663151927,0,0,0,0,0,0,1.8416780044999999,16.6253401361,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,21,1.1981,4,0,5,52.93,123.194685136,285.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8445254466999998,670.244221204,14.353006672200001,11.990011574,11.990011574,10.1258642161,7.7133279544,7.7133279544,6.9301102936,6.9301102936,6.1497382487,6.1497382487,5.2384155707,5.2384155707,-1.52,12.0669274369,3.6226846882,1.207164135,2,4,19.8498274743,12.2079327755,11.499023666600001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2184072821,38.0638901946,22.9381888364,0.0,14.949917743499999,0.0,0.0,4.8999097309,5.9179060462,36.5064073199,13.592428388599998,35.411677334000004,0,11.499023666600001,4.7368629538,0.0,11.499023666600001,0.0,46.9551665138,11.8358120923,5.9179060462,17.5477246063,24.2847743506,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,45.25,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,8,0,1,3,0,2,0,0,0,10,14,20,0,5,3,2,0,0,21,0,5,0,0,0,1,0,0,0,0,0,10,9,20,0,4,2,2,0,0,21,0,4,0,0,0,1,0,0,0,0,0,8,1,12,0,1,1,1,0,0,13,0,1,0,0,0,1
58,58,17,0.9608,6,5,1,104.64,98.48602974459999,238.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6439639626,362.317637667,12.673362107400001,9.1660088778,9.1660088778,8.0922241529,4.9870524374,4.9870524374,3.367686683,3.367686683,2.1245304028,2.1245304028,1.3312179481,1.3312179481,-2.24,12.8277506775,6.365816485700001,4.8737045354,4,6,20.941060861900002,13.213763929,0.0,0.0,0.0,12.1864801419,0.0,9.589074368099999,0.0,0.0,30.3318353423,5.5634514916999995,0.0,5.9179060462,19.0628002757,12.1864801419,0.0,0.0,11.4673349543,5.9179060462,13.213763929,35.895286834000004,0,0.0,11.4673349543,9.589074368099999,0.0,0.0,25.4002440709,9.4737259076,0.0,11.4813575379,30.3318353423,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,48.3333333333,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,7,0,0,6,0,5,0,0,0,10,4,15,0,0,0,0,0,0,15,0,0,0,0,0,5,0,4,0,0,0,10,0,15,0,0,0,0,0,0,15,0,0,0,0,0,3,0,2,0,0,0,8,0,12,0,0,0,0,0,0,12,0,0,0,0,0,1
64,64,18,3.1084,2,3,3,21.26,107.96029659700001,241.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6644334228,517.2408167130001,12.208896013399999,10.5625843499,10.5625843499,8.915816238,6.7169182886000005,6.7169182886000005,4.9418659442,4.9418659442,3.5857580364999997,3.5857580364999997,2.5047484214,2.5047484214,-1.38,11.695902123,5.508072875,2.7125506519,1,2,10.0536515578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.398202410799996,48.3334230468,0.0,12.7108483523,4.7368629538,10.7724484289,0.0,5.316788604,0.0,25.552491598099998,13.0895128118,48.0280209709,0,0.0,5.316788604,0.0,0.0,0.0,19.1934791996,11.343744918299999,0.0,18.4050947375,42.4645694792,0.0,10.7724484289,0,0,0.0,0,0,0,0,0,0,0.0,33.8333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,10,0,1,0,4,0,4,0,0,45,0,45,0,0,0,0,0,0,45,0,0,0,0,0,0,1,0,1,0,0,41,0,41,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,23,0,0,0,0,0,0
68,68,25,3.5895,4,5,3,49.77,147.906676921,337.41900000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0790243347999997,808.5385029260001,17.811190308900002,14.6581530502,14.6581530502,12.0417138957,8.4541529176,8.4541529176,6.5565995305,6.5565995305,4.3049802256,4.3049802256,3.0945763631,3.0945763631,-2.59,17.2400941129,7.532399250499999,4.0898388093,1,4,14.7433000795,12.3563937978,0.0,0.0,0.0,5.969305287999999,4.7945371841,0.0,0.0,0.0,36.4078554491,54.9123587304,12.1082078976,6.420821622899999,14.6379275327,11.542409818,0.0,4.8999097309,0.0,19.4485252104,20.6401003713,70.7943955529,0,5.749511833300001,4.7368629538,0.0,5.749511833300001,0.0,36.615842784899996,17.822240771500002,0.0,28.6746275897,48.5405895861,0.0,5.5731045301,0,0,0.0,0,0,0,0,0,0,0.0,56.1666666667,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,2,16,3,1,3,4,2,5,4,0,43,8,68,15,4,0,6,0,0,92,25,7,3,0,0,1,4,1,5,2,0,29,2,50,10,0,0,2,0,0,70,14,3,3,0,0,1,3,1,4,1,0,15,0,24,3,0,0,1,0,0,32,4,1,3,0,0,1
72,72,19,3.0321,3,6,2,21.7,113.93518991200001,257.33299999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.034821621,429.122310892,13.5017892322,11.3216699187,11.3216699187,9.237183443,6.3199232638,6.3199232638,4.5536090111,4.5536090111,2.535687139,2.535687139,1.6984207541999998,1.6984207541999998,-2.0,13.4320987654,6.8052930057,4.6390532544,0,3,14.3736356385,11.499023666600001,0.0,0.0,6.290026729299999,0.0,0.0,0.0,0.0,0.0,36.398202410799996,38.3608122392,0.0,6.5447564059,9.4737259076,0.0,0.0,4.8999097309,0.0,6.290026729299999,20.6401003713,60.6636706846,0,11.499023666600001,9.4737259076,0.0,11.499023666600001,0.0,31.8300368315,0.0,0.0,0.0,60.6636706846,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,39.1666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1,12,0,1,1,9,2,9,0,2,38,11,38,0,11,0,0,0,0,38,0,11,0,0,0,1,6,2,6,0,2,28,5,28,0,5,0,0,0,0,28,0,5,0,0,0,0,2,1,2,0,1,18,1,18,0,1,0,0,0,0,18,0,1,0,0,0,1
78,78,17,1.3404,4,6,1,58.36,102.797106571,235.331,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3694575786,344.18713689199996,12.673362107400001,10.5706403567,10.5706403567,8.1682337578,6.030616735900001,6.030616735900001,3.9047920315,3.9047920315,2.7808877872,2.7808877872,1.6039375493,1.6039375493,-1.55,13.5147249191,6.9099229453,4.4439980456,3,4,15.950365812000001,0.0,0.0,0.0,5.9071797294,0.0,4.7945371841,0.0,0.0,0.0,13.847474399400001,37.354981085700004,24.340350578200002,0.0,4.7945371841,11.594566004,0.0,10.2166983349,0.0,13.847474399400001,31.9126931008,29.8289197655,0,0.0,11.050456081199998,5.687386274700001,0.0,0.0,36.986115083899996,0.0,0.0,24.2054630752,24.2654682738,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,38.5,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,6,0,1,0,0,2,0,0,1,15,10,15,0,4,1,0,0,1,15,0,4,0,0,0,0,0,2,0,0,1,15,5,15,0,1,1,0,0,1,15,0,1,0,0,0,0,0,1,0,0,0,10,1,10,0,0,0,0,0,0,10,0,0,0,0,0,0
96,96,30,5.0067,6,7,4,73.44,174.33738738,404.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7729339990000001,1182.23383529,21.0872111909,17.2679230116,17.2679230116,14.5628819457,9.864678871599999,9.864678871599999,7.3677741045000005,7.3677741045000005,4.7825102181,4.7825102181,3.5005838759,3.5005838759,-3.38,19.9157283366,8.5492561968,3.9972030208,1,6,19.1945673823,12.3563937978,5.6939279949,0.0,0.0,5.969305287999999,0.0,9.778515705,0.0,0.0,30.3318353423,37.6100270965,28.9623981795,24.424392641500003,19.0051260455,27.7751551521,0.0,9.9679570419,0.0,33.1652047162,7.1097975413,71.5486110975,0,5.749511833300001,4.7368629538,0.0,5.749511833300001,0.0,29.1510262589,22.687489836599998,0.0,35.4628425617,54.7277801193,0.0,21.805849864200002,0,0,0.0,0,0,0,0,0,0,0.0,66.3333333333,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,19,1,17,0,0,6,2,0,13,0,0,126,8,101,0,0,0,4,0,0,83,0,0,0,0,0,6,2,0,9,0,0,93,7,65,0,0,0,1,0,0,59,0,0,0,0,0,1,2,0,4,0,0,47,3,32,0,0,0,0,0,0,32,0,0,0,0,0,0
